image_path,label
data_for_train_model\text_552.png,Energi 90 kkal
data_for_train_model\text_553.png,Lemak total 0 g
data_for_train_model\text_554.png,Karbohidrat total 19 g
data_for_train_model\text_555.png,Protein 3 g
data_for_train_model\text_556.png,Natrium 630 mg
data_for_train_model\text_557.png,Energi 0 kkal
data_for_train_model\text_558.png,Lemak total 0 g
data_for_train_model\text_559.png,Karbohidrat total 0 g
data_for_train_model\text_560.png,Protein 0 g
data_for_train_model\text_561.png,Natrium 0 mg
data_for_train_model\text_562.png,Jumlah Per Sajian (150 ml)
data_for_train_model\text_563.png,Energi 100 kkal
data_for_train_model\text_564.png,Lemak total 3 g
data_for_train_model\text_565.png,Karbohidrat total 18 g
data_for_train_model\text_566.png,Protein 1 g
data_for_train_model\text_567.png,Natrium 70 mg
data_for_train_model\text_568.png,Jumlah Per Sajian (23 g)
data_for_train_model\text_569.png,Energi 100 kkal
data_for_train_model\text_570.png,Lemak total 3 g
data_for_train_model\text_571.png,Karbohidrat total 18 g
data_for_train_model\text_572.png,Protein 1 g
data_for_train_model\text_573.png,Natrium 70 mg
data_for_train_model\text_574.png,Jumlah Per Sajian (30 g)
data_for_train_model\text_575.png,Energi 130 kkal
data_for_train_model\text_576.png,Energi dari lemak 25 kkal
data_for_train_model\text_577.png,Lemak total 3 g
data_for_train_model\text_578.png,Lemak jenuh 1 g
data_for_train_model\text_579.png,Gula 16 g
data_for_train_model\text_580.png,Kolesterol 0 mg
data_for_train_model\text_581.png,Karbohidrat total 24 g
data_for_train_model\text_582.png,Protein 2 g
data_for_train_model\text_583.png,Serat pangan 1 g
data_for_train_model\text_584.png,Natrium 70 mg
data_for_train_model\text_585.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_586.png,Energi 160 kkal
data_for_train_model\text_587.png,Lemak total 3 g
data_for_train_model\text_588.png,Karbohidrat total 26 g
data_for_train_model\text_589.png,Protein 8 g
data_for_train_model\text_590.png,Natrium 120 mg
data_for_train_model\text_591.png,Jumlah Per Sajian (70 g)
data_for_train_model\text_592.png,Energi 70 kkal
data_for_train_model\text_593.png,Lemak total 2 g
data_for_train_model\text_594.png,Karbohidrat total 11 g
data_for_train_model\text_595.png,Protein 2 g
data_for_train_model\text_596.png,Natrium 60 mg
data_for_train_model\text_597.png,Jumlah Per Sajian (70 g)
data_for_train_model\text_598.png,Energi 70 kkal
data_for_train_model\text_599.png,Lemak total 2 g
data_for_train_model\text_600.png,Gula 8 g
data_for_train_model\text_601.png,Karbohidrat total 10 g
data_for_train_model\text_602.png,Protein 2 g
data_for_train_model\text_603.png,Natrium 35 mg
data_for_train_model\text_604.png,Jumlah Per Sajian (28.80 g)
data_for_train_model\text_605.png,Energi 140 kkal
data_for_train_model\text_606.png,Lemak total 6 g
data_for_train_model\text_607.png,Gula 16.20 g
data_for_train_model\text_608.png,Vitamin A 104 mcg
data_for_train_model\text_609.png,Vitamin D 1.66 mcg
data_for_train_model\text_610.png,Vitamin E 0.98 mg
data_for_train_model\text_611.png,Vitamin K 5.40 mcg
data_for_train_model\text_612.png,Vitamin B1 86 mg
data_for_train_model\text_613.png,Vitamin B2 252 mg
data_for_train_model\text_614.png,Vitamin B3 560 mg
data_for_train_model\text_615.png,Vitamin B5 560 mg
data_for_train_model\text_616.png,Vitamin B6 66 mg
data_for_train_model\text_617.png,Vitamin B12 0.28 mcg
data_for_train_model\text_618.png,Vitamin C 15.40 mg
data_for_train_model\text_619.png,Karbohidrat total 18 g
data_for_train_model\text_620.png,Protein 3 g
data_for_train_model\text_621.png,Asam linoleat 1092 g
data_for_train_model\text_622.png,Asam a-linolenat 88 g
data_for_train_model\text_623.png,Serat pangan 0.80 g
data_for_train_model\text_624.png,Folat 15.80 mcg
data_for_train_model\text_625.png,Biotin 2.20 mcg
data_for_train_model\text_626.png,Kolin 16.80 mg
data_for_train_model\text_627.png,Kalsium 94 mg
data_for_train_model\text_628.png,Fosfor 88 mg
data_for_train_model\text_629.png,Magnesium 9.80 mg
data_for_train_model\text_630.png,Natrium 64 mg
data_for_train_model\text_631.png,Kalium 154 mg
data_for_train_model\text_632.png,Mangan 60 mcg
data_for_train_model\text_633.png,Tembaga 62 mg
data_for_train_model\text_634.png,Besi 2.20 mg
data_for_train_model\text_635.png,Energi 200 kkal
data_for_train_model\text_636.png,Lemak total 3 g
data_for_train_model\text_637.png,Karbohidrat total 29 g
data_for_train_model\text_638.png,Protein 5 g
data_for_train_model\text_639.png,Natrium 220 mg
data_for_train_model\text_640.png,Jumlah Per Sajian (45 g)
data_for_train_model\text_641.png,Energi 190 kkal
data_for_train_model\text_642.png,Lemak total 5 g
data_for_train_model\text_643.png,Karbohidrat total 26 g
data_for_train_model\text_644.png,Protein 9 g
data_for_train_model\text_645.png,Natrium 115 mg
data_for_train_model\text_646.png,Energi 170 kkal
data_for_train_model\text_647.png,Lemak total 6 g
data_for_train_model\text_648.png,Karbohidrat total 23 g
data_for_train_model\text_649.png,Protein 4.50 g
data_for_train_model\text_650.png,Natrium 90 mg
data_for_train_model\text_651.png,Jumlah Per Sajian (125 ml)
data_for_train_model\text_652.png,Energi 90 kkal
data_for_train_model\text_653.png,Lemak total 2.50 g
data_for_train_model\text_654.png,Karbohidrat total 15 g
data_for_train_model\text_655.png,Protein 10 g
data_for_train_model\text_656.png,Natrium 140 mg
data_for_train_model\text_657.png,Energi 120 kkal
data_for_train_model\text_658.png,Lemak total 6 g
data_for_train_model\text_659.png,Karbohidrat total 10 g
data_for_train_model\text_660.png,Protein 6 g
data_for_train_model\text_661.png,Natrium 100 mg
data_for_train_model\text_662.png,Energi 150 kkal
data_for_train_model\text_663.png,Energi dari lemak 70 kkal
data_for_train_model\text_664.png,Lemak total 3.50 g
data_for_train_model\text_665.png,Lemak jenuh 3.50 g
data_for_train_model\text_666.png,Lemak trans 0 g
data_for_train_model\text_667.png,Gula 11 g
data_for_train_model\text_668.png,Vitamin A 25 mcg
data_for_train_model\text_669.png,Vitamin C 30 mg
data_for_train_model\text_670.png,Kolesterol 25 mg
data_for_train_model\text_671.png,Karbohidrat total 12 g
data_for_train_model\text_672.png,Protein 8 g
data_for_train_model\text_673.png,Serat pangan 1 g
data_for_train_model\text_674.png,Kalsium 35 mg
data_for_train_model\text_675.png,Natrium 160 mg
data_for_train_model\text_676.png,Besi 6 mg
data_for_train_model\text_677.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_678.png,Energi 80 kkal
data_for_train_model\text_679.png,Energi dari lemak 25 kkal
data_for_train_model\text_680.png,Lemak total 2.50 g
data_for_train_model\text_681.png,Lemak jenuh 1.50 g
data_for_train_model\text_682.png,Lemak trans 0 g
data_for_train_model\text_683.png,Gula 6 g
data_for_train_model\text_684.png,Vitamin A 45 mcg
data_for_train_model\text_685.png,Kolesterol 10 mg
data_for_train_model\text_686.png,Karbohidrat total 9 g
data_for_train_model\text_687.png,Protein 6 g
data_for_train_model\text_688.png,Kalsium 35 mg
data_for_train_model\text_689.png,Natrium 90 mg
data_for_train_model\text_690.png,Besi 4 mg
data_for_train_model\text_691.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_692.png,Energi 90 kkal
data_for_train_model\text_693.png,Lemak total 2.50 g
data_for_train_model\text_694.png,Lemak jenuh 1.50 g
data_for_train_model\text_695.png,Kolesterol 10 mg
data_for_train_model\text_696.png,Karbohidrat total 11 g
data_for_train_model\text_697.png,Protein 7 g
data_for_train_model\text_698.png,Natrium 105 mg
data_for_train_model\text_699.png,Jumlah Per Sajian (250 g)
data_for_train_model\text_700.png,Energi 200 kkal
data_for_train_model\text_701.png,Energi dari lemak 45 kkal
data_for_train_model\text_702.png,Lemak total 5 g
data_for_train_model\text_703.png,Lemak jenuh 4 g
data_for_train_model\text_704.png,Gula 24 g
data_for_train_model\text_705.png,Kolesterol 14 mg
data_for_train_model\text_706.png,Karbohidrat total 30 g
data_for_train_model\text_707.png,Protein 8 g
data_for_train_model\text_708.png,Natrium 55 mg
data_for_train_model\text_709.png,Kalium 320 mg
data_for_train_model\text_710.png,Energi 160 kkal
data_for_train_model\text_711.png,Lemak total 4 g
data_for_train_model\text_712.png,Lemak jenuh 3 g
data_for_train_model\text_713.png,Kolesterol 10 mg
data_for_train_model\text_714.png,Karbohidrat total 24 g
data_for_train_model\text_715.png,Protein 6 g
data_for_train_model\text_716.png,Natrium 45 mg
data_for_train_model\text_717.png,Kalium 260 mg
data_for_train_model\text_718.png,Energi 90 kkal
data_for_train_model\text_719.png,Energi dari lemak 25 kkal
data_for_train_model\text_720.png,Lemak total 2.50 g
data_for_train_model\text_721.png,Lemak jenuh 2 g
data_for_train_model\text_722.png,Gula 10 g
data_for_train_model\text_723.png,Kolesterol 10 mg
data_for_train_model\text_724.png,Karbohidrat total 14 g
data_for_train_model\text_725.png,Protein 2 g
data_for_train_model\text_726.png,Asam linoleat 251 g
data_for_train_model\text_727.png,Asam a-linolenat 44 g
data_for_train_model\text_728.png,Serat pangan 3 g
data_for_train_model\text_729.png,Natrium 90 mg
data_for_train_model\text_730.png,Energi 90 kkal
data_for_train_model\text_731.png,Lemak total 2.50 g
data_for_train_model\text_732.png,Lemak jenuh 1.50 g
data_for_train_model\text_733.png,Gula 10 g
data_for_train_model\text_734.png,Kolesterol 10 mg
data_for_train_model\text_735.png,Karbohidrat total 15 g
data_for_train_model\text_736.png,Protein 3 g
data_for_train_model\text_737.png,Asam linoleat 353 g
data_for_train_model\text_738.png,Asam a-linolenat 63 g
data_for_train_model\text_739.png,Serat pangan 4 g
data_for_train_model\text_740.png,Natrium 140 mg
data_for_train_model\text_741.png,Energi 80 kkal
data_for_train_model\text_742.png,Energi dari lemak 15 kkal
data_for_train_model\text_743.png,Lemak total 1.50 g
data_for_train_model\text_744.png,Lemak jenuh 1.50 g
data_for_train_model\text_745.png,Gula 12 g
data_for_train_model\text_746.png,Kolesterol 4 mg
data_for_train_model\text_747.png,Karbohidrat total 15 g
data_for_train_model\text_748.png,Protein 1 g
data_for_train_model\text_749.png,Asam linoleat 225 g
data_for_train_model\text_750.png,Asam a-linolenat 39 g
data_for_train_model\text_751.png,Serat pangan 2 g
data_for_train_model\text_752.png,Natrium 90 mg
data_for_train_model\text_753.png,Jumlah Per Sajian (2 g)
data_for_train_model\text_754.png,Energi 0 kkal
data_for_train_model\text_755.png,Lemak total 0 g
data_for_train_model\text_756.png,Karbohidrat total 0 g
data_for_train_model\text_757.png,Protein 0 g
data_for_train_model\text_758.png,Natrium 0 mg
data_for_train_model\text_759.png,Jumlah Per Sajian (1.60 g)
data_for_train_model\text_760.png,Energi 0 kkal
data_for_train_model\text_761.png,Lemak total 0 g
data_for_train_model\text_762.png,Karbohidrat total 0 g
data_for_train_model\text_763.png,Protein 0 g
data_for_train_model\text_764.png,Natrium 0 mg
data_for_train_model\text_765.png,Jumlah Per Sajian (15 g)
data_for_train_model\text_766.png,Energi 60 kkal
data_for_train_model\text_767.png,Lemak total 0 g
data_for_train_model\text_768.png,Karbohidrat total 15 g
data_for_train_model\text_769.png,Protein 0 g
data_for_train_model\text_770.png,Natrium 10 mg
data_for_train_model\text_771.png,Jumlah Per Sajian (22 g)
data_for_train_model\text_772.png,Energi 100 kkal
data_for_train_model\text_773.png,Lemak total 2.50 g
data_for_train_model\text_774.png,Lemak jenuh 2.50 g
data_for_train_model\text_775.png,Gula 14 g
data_for_train_model\text_776.png,Karbohidrat total 18 g
data_for_train_model\text_777.png,Protein 1 g
data_for_train_model\text_778.png,Natrium 35 mg
data_for_train_model\text_779.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_780.png,Energi 90 kkal
data_for_train_model\text_781.png,Lemak total 2.50 g
data_for_train_model\text_782.png,Lemak jenuh 1.50 g
data_for_train_model\text_783.png,Kolesterol 10 mg
data_for_train_model\text_784.png,Karbohidrat total 11 g
data_for_train_model\text_785.png,Protein 7 g
data_for_train_model\text_786.png,Natrium 105 mg
data_for_train_model\text_787.png,Jumlah Per Sajian (250 ml)
data_for_train_model\text_788.png,Energi 130 kkal
data_for_train_model\text_789.png,Lemak total 0 g
data_for_train_model\text_790.png,Karbohidrat total 32 g
data_for_train_model\text_791.png,Protein 0 g
data_for_train_model\text_792.png,Natrium 0 mg
data_for_train_model\text_793.png,Jumlah Per Sajian (250 ml)
data_for_train_model\text_794.png,Energi 90 kkal
data_for_train_model\text_795.png,Lemak total 0 g
data_for_train_model\text_796.png,Karbohidrat total 22 g
data_for_train_model\text_797.png,Protein 2 g
data_for_train_model\text_798.png,Natrium 0 mg
data_for_train_model\text_799.png,Jumlah Per Sajian (200 ml)
data_for_train_model\text_800.png,Energi 138 kkal
data_for_train_model\text_801.png,Lemak total 6 g
data_for_train_model\text_802.png,Lemak jenuh 2.40 g
data_for_train_model\text_803.png,Lemak trans 0 g
data_for_train_model\text_804.png,Lemak tidak jenuh tunggal 1.40 g
data_for_train_model\text_805.png,Lemak tidak jenuh ganda 1.80 g
data_for_train_model\text_806.png,Gula 14 g
data_for_train_model\text_807.png,Vitamin A 122 mcg
data_for_train_model\text_808.png,Vitamin D 1.60 mcg
data_for_train_model\text_809.png,Vitamin E 1.40 mg
data_for_train_model\text_810.png,Vitamin B1 0.20 mg
data_for_train_model\text_811.png,Vitamin B2 0.20 mg
data_for_train_model\text_812.png,Vitamin B12 0.40 mcg
data_for_train_model\text_813.png,Kolesterol 0 mg
data_for_train_model\text_814.png,Karbohidrat total 15.20 g
data_for_train_model\text_815.png,Protein 5.40 g
data_for_train_model\text_816.png,Serat pangan 1.20 g
data_for_train_model\text_817.png,Folat 80 mcg
data_for_train_model\text_818.png,Magnesium 36 mg
data_for_train_model\text_819.png,Natrium 106 mg
data_for_train_model\text_820.png,Besi 1 mg
data_for_train_model\text_821.png,Iodium 30 mcg
data_for_train_model\text_822.png,Energi 56 kkal
data_for_train_model\text_823.png,Lemak total 2.70 g
data_for_train_model\text_824.png,Lemak jenuh 1.10 g
data_for_train_model\text_825.png,Lemak trans 0 g
data_for_train_model\text_826.png,Gula 2.20 g
data_for_train_model\text_827.png,Kolesterol 0 mg
data_for_train_model\text_828.png,Karbohidrat total 5.20 g
data_for_train_model\text_829.png,Protein 2.70 g
data_for_train_model\text_830.png,Natrium 0 mg
data_for_train_model\text_831.png,Energi 30 kkal
data_for_train_model\text_832.png,Lemak total 0 g
data_for_train_model\text_833.png,Karbohidrat total 7 g
data_for_train_model\text_834.png,Protein 0 g
data_for_train_model\text_835.png,Natrium 280 mg
data_for_train_model\text_836.png,Jumlah Per Sajian (30 g)
data_for_train_model\text_837.png,Energi 110 kkal
data_for_train_model\text_838.png,Lemak total 1 g
data_for_train_model\text_839.png,Karbohidrat total 21 g
data_for_train_model\text_840.png,Protein 5 g
data_for_train_model\text_841.png,Natrium 35 mg
data_for_train_model\text_842.png,Energi 150 kkal
data_for_train_model\text_843.png,Lemak total 3 g
data_for_train_model\text_844.png,Karbohidrat total 23 g
data_for_train_model\text_845.png,Protein 7 g
data_for_train_model\text_846.png,Natrium 70 mg
data_for_train_model\text_847.png,Jumlah Per Sajian (250 g)
data_for_train_model\text_848.png,Energi 180 kkal
data_for_train_model\text_849.png,Lemak total 2 g
data_for_train_model\text_850.png,Gula 26 g
data_for_train_model\text_851.png,Karbohidrat total 36 g
data_for_train_model\text_852.png,Protein 6 g
data_for_train_model\text_853.png,Serat pangan 5 g
data_for_train_model\text_854.png,Natrium 90 mg
data_for_train_model\text_855.png,Jumlah Per Sajian (125 g)
data_for_train_model\text_856.png,Energi 140 kkal
data_for_train_model\text_857.png,Lemak total 4 g
data_for_train_model\text_858.png,Lemak jenuh 2.50 g
data_for_train_model\text_859.png,Kolesterol 10 mg
data_for_train_model\text_860.png,Karbohidrat total 22 g
data_for_train_model\text_861.png,Protein 4 g
data_for_train_model\text_862.png,Serat pangan 4 g
data_for_train_model\text_863.png,Natrium 30 mg
data_for_train_model\text_864.png,Energi 150 kkal
data_for_train_model\text_865.png,Lemak total 0 g
data_for_train_model\text_866.png,Gula 37 g
data_for_train_model\text_867.png,Vitamin C 1000 mg
data_for_train_model\text_868.png,Karbohidrat total 37 g
data_for_train_model\text_869.png,Protein 0 g
data_for_train_model\text_870.png,Natrium 60 mg
